TEXT,FILENAME,TYPE FOLLOW,FOLLOW FILE (DEFAULT/SHORT/YES),FOLLOW FILE 2 (NO/LONG),GENERAL TAGS,,,SPECIFIC TAGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What's your relationship with your parents like?,parentrelation,hardfollow,parentrelation2,,childhood,,,mom,dad,mother,father,strict,expect,expectations,nag,nagging,nagger,nags,hover,hovers,hovering,shame,shames,shaming,scold,scolds,scolding,adhere,follow,followed,rules,demand,demanding,demands,relax,relaxed,difficult,easy,get along,neurotic,nervous,overbearing,sister,sisters,brother,brothers,siblings,,,,,,,,,,,,,,
Has it changed a lot since you were younger?,parentrelation2,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
If you could redo the last ten years of your life what would you do differently?,tenyearredo,length,,tenyearredo2,hurt,wrong,,perfect,mistake,mistakes,job,career,decision,path,interests,passion,passions,practical,move,moved,break up,broke up,girlfriend,boyfriends,husband,wife,children,kid,kids,engaged,married,divorce,divorced,job,work,working,promotion,promoted,got,didn't get,applied,apply,myself,,,,,,,,,,,,,,,,,,
And what do you think your life would look like now?,tenyearredo2,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How would you describe your soulmate?,soulmate,,,,love,,,girlfriend,boyfriend,lonely,alone,single,someone,somebody,pick up,go out,picking,picked,baggage,spoiled,player,cute,handsome,want,wants,going out,date,dating,dates,tinder,okay cupid,online,swipe,swiping,swipes,shallow,romance,romantic,gentleman,woman,man,,,,,,,,,,,,,,,,,,,,
Tell me about your love life.,lovelife,hardfollow,lovelife2,,love,sex,notfirst,date,dating,dates,dated,boyfriend,girlfriend,single,with someone,have someone,okay cupid,tinder,hook up,hook ups,hooking up,partner,partners,go out,going out,engaged,married,wedding,weddings,marriage,alone,lonely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
So are you happy overall?,lovelife2,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do you have any friends whose love lives you're jealous of?,friendlovejealous,hardfollow,friendlovejealous2,,love,,,date,dating,dates,dated,boyfriend,girlfriend,single,with someone,have someone,okay cupid,tinder,hook up,hook ups,hooking up,partner,partners,go out,going out,engaged,married,wedding,weddings,marriage,alone,lonely,friend,friends,luck,lucky,unlucky,,,,,,,,,,,,,,,,,,,,,,,,
Do you think any of your friends are jealous of your love life?,friendlovejealous2,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tell me about a time when you felt jealous.,jealous,length,,jealous2,love,notfirst,,crush,girlfriend,boyfriend,obsessed,so hot,attractive,see her around,see him around,obsessing,obsession,enamored,fascinated,crush,wife,creepy,facebook,online,date,dating,his emails,his texts,her emails,her texts,where he,where she,all the time,,,,,,,,,,,,,,,,,,,,,,,,,,,,
And how do you feel looking back on it?,jealous2,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
If you could change anything in your life right now what would you change?,lifechange,,,,worry,,,work,working,make,making,scrape,scraping,rent,buy,afford,feed,food,table,apartment,house,family,kids,wife,husband,job,hard,difficult,time,path,interests,passion,passions,practical,move,moved,break up,broke up,girlfriend,boyfriends,husband,wife,children,kid,kids,engaged,married,divorce,divorced,,,,,,,,,,,,
That sounds very difficult. What was that like?,thatsoundsdifficult,hardfollow,thatsoundsdifficult2,,,,,suicidal,suicide,depressed,depression,anxious,anxiety,anorexic,anorexia,kill myself,killing myself,eating disorder,bulimic,bulimia,counting calories,counted calories,stopped eating,didn't eat,cutting,cut myself,burn myself,burned myself,was hospitalized,was in the hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"What do you think constitutes a ""normal"" sex life for someone your age today?",sexlife,hardfollow,sexlife2,,sex,,,date,dating,dates,dated,boyfriend,girlfriend,single,with someone,have someone,okay cupid,tinder,hook up,hook ups,hooking up,partner,partners,go out,going out,engaged,marry,married,wedding,weddings,marriage,alone,lonely,friend,friends,luck,lucky,unlucky,sleep with,slept with,sleeping with,,,,,,,,,,,,,,,,,,,,
"Do you think you have a ""normal"" sex life?",sexlife2,length,sexlife3,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How so?,sexlife3,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Have you ever questioned your sexuality?,questionsexuality,,,,sex,,,horny,lonely,worked up,bring home,go home,home with,alone,sleep with,okay cupid,tinder,grinder,hook up,hook ups,hooking up,trust,trusts,trusting,trusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How frequently do you masturbate?,masturbate,hardfollow,masturbate2,,sex,notfirst,,hook up,hook ups,hooking up,masturbation,masturbating,sleep with,slept with,sleeping with,jack off,jerk off,jacked,jerked,jacking off,jerking off,touch myself,touching myself,orgasm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What do you think about when you masturbate?,masturbate2,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do you have a strong sex drive?,sexdrive,,,,sex,notfirst,,date,dating,dates,dated,boyfriend,girlfriend,single,with someone,have someone,okay cupid,tinder,hook up,hook ups,hooking up,partner,partners,masturbate,masturbation,go out,going out,engaged,marry,married,wedding,weddings,marriage,alone,lonely,friend,friends,luck,lucky,unlucky,sleep with,slept with,sleeping with,jack off,jerk off,dick,pussy,cock,tits,ass,get more,got more,got some,get some,,,,,,,
Do you have any nicknames for parts of your body?,nickname,length,,nickname2,sex,notfirst,,masturbate,masturbating,masturbation,sleep with,slept with,sleeping with,jack off,jerk off,jacking off,jerking off,touch myself,touching myself,orgasm,to come,coming,jacked,jerked,came,dick,pussy,cock,tits,ass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Have you ever come up with a nickname for your partner's private areas?,nickname2,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Are you happy with your sex life?,happysexlife,yesno,,happysexlife2,sex,notfirst,,go out,friends,looking,single,dating,seeing,complicated,clear,unclear,with someone,girlfriend,girlfriends,boyfriend,boyfriends,horny,lonely,worked up,to fuck,wake up,waking up,to sleep,asleep,to bed,in bed,bring home,go home,alone,sleep with,date,dates,dated,have someone,okay cupid,tinder,hook up,hook ups,hooking up,partner,partners,masturbate,masturbation,get some,ass,got some,get more,got more,coming,,,,,,,
How could it be better?,happysexlife2,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you could have one sexual experience before you die ""no strings attached"" what would it be?",onesexexperience,,,,sex,notfirst,,horny,jack off,jerk off,jacking,jerking,turns me on,turn on,masturbate,masturbating,masturbation,fantasy,fantasies,rape,consensual,consent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is there anything in your sex life that you're insecure about?,insecuresex,yesno,insecuresex2,,sex,notfirst,,complicated,complicates,specific,weird,uncomfortable,nervous,clear,unclear,with someone,horny,lonely,worked up,to fuck,to bed,in bed,bring home,go home,alone,sleep with,date,dates,dated,have someone,okay cupid,tinder,hook up,hook ups,hooking up,partner,partners,masturbate,masturbation,trust,trusts,trusting,fantasy,fantasies,rape,consensual,consent,confident,confidence,handsome,outgoing,,,,,,,,,,
Tell me about when you first started feeling this way.,insecuresex2,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tell me about something that you've always wanted to do that you've never done.,wantsex,length,,wantsex2,sex,notfirst,,complicated,complicates,specific,weird,uncomfortable,nervous,clear,unclear,with someone,horny,lonely,worked up,to fuck,to bed,in bed,bring home,go home,alone,sleep with,date,dates,dated,have someone,okay cupid,tinder,hook up,hook ups,hooking up,partner,partners,masturbate,masturbation,trust,trusts,trusting,fantasy,fantasies,rape,consensual,consent,,,,,,,,,,,,,,
So why haven't you?,wantsex2,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do you remember the first time you had an orgasm?,orgasmfirst,hardfollow,orgasmfirst2,,sex,notfirst,,date,dating,dates,dated,boyfriend,girlfriend,single,with someone,have someone,hook up,hook ups,hooking up,partner,partners,masturbate,masturbated,masturbation,go out,going out,horny,worked up,alone,lonely,friend,friends,luck,lucky,unlucky,sleep with,slept with,sleeping with,jack,jerk,jacking,jerking,,,,,,,,,,,,,,,,,,,
What were you doing? What were you thinking about?,orgasmfirst2,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can you tell me about your first kiss?,kissfirst,hardfollow,kissfirst2,,love,,,date,dates,dating,out,pick,picked,picking,met,meet,meeting,girlfriend,boyfriend,crush,crushes,ugly,awkward,pretty,cool,go out,going out,kiss,kissed,kissing,school,camp,okay cupid,tinder,,,,,,,,,,,,,,,,,,,,,,,,,,,
What do you remember feeling thinking?,kissfirst2,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can you tell me about the first time you had sex? ,firstsex,length,,firstsex2,sex,notfirst,,date,dating,dates,dated,hook up,hook ups,hooking up,masturbate,masturbated,masturbation,go out,going out,horny,worked up,alone,lonely,friend,friends,luck,lucky,unlucky,sleep with,slept with,sleeping with,jack,jerk,jacking,jerking,orgasm,come,came,coming,,,,,,,,,,,,,,,,,,,,,,
What was it like for you? How did you feel?,firstsex2,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tell me about the craziest sexual encounter you've ever had.,crazysex,,,,sex,notfirst,,date,dating,dates,dated,hook up,hook ups,hooking up,masturbate,masturbated,masturbation,go out,going out,horny,worked up,alone,lonely,friend,friends,luck,lucky,unlucky,sleep with,slept with,sleeping with,jack,jerk,jacking,jerking,orgasm,come,came,coming,,,,,,,,,,,,,,,,,,,,,,
Tell me about the best sexual encounter you've ever had.,bestsex,,,,sex,notfirst,,date,dating,dates,dated,hook up,hook ups,hooking up,masturbate,masturbated,masturbation,go out,going out,horny,worked up,alone,lonely,friend,friends,luck,lucky,unlucky,sleep with,slept with,sleeping with,jack,jerk,jacking,jerking,orgasm,come,came,coming,,,,,,,,,,,,,,,,,,,,,,
Do you think about your life purpose? What's your big picture inspiration?,lifepurpose,,,,belief,,,why,point,tired,exhausted,grateful,grateful,try,nothing,tried,burned out,spent,meaning,waste,wasted,fail,failed,failure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How did you learn about masturbation?,learnmasturbation,length,,learnmasturbation2,sex,notfirst,,orgasm,masturbate,masturbating,come,came,myself,alone,jack,jerk,jacking,jerking,vibrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can you tell me about the first time you masturbated?,learnmasturbation2,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What was your first exposure to sex?,originalsin,,,,sex,notfirst,,orgasm,masturbate,come,came,myself,alone,jack,jerk,jacking,jerking,vibrator,partner,partners,first time,virgin,virginity,boyfriend,girlfriend,experience,experienced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Have you ever lost a person who was close to you?,lostsomeone,hardfollow,lostsomeone2,,hurt,,,death,relative,mother,father,son,daughter,sad,regret,pray,church,god,grandmother,grandpa,grandma,grandfather,childhood,kid, crying,cry,never saw,never see them again,gone,dead,sick,cancer,illness,sickness,ill,hospital,doctor,funeral,,,,,,,,,,,,,,,,,,,,,,,
What would you like to say to them now?,lostsomeone2,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What has been one of the major disappointments in your life?,disappointmentinlife,,,,worry,,,wish,regret,used to be,not how i wanted,disappoint,disappointed, not what I wanted,didn't work out,job,career,wanted to be,left me,attractive,promotion,sorry,apologize,as an adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What do you think your high school self would think about you today?,highschoolself,,,,childhood,,,dork,cool,freshman,sophomore,junior,senior,college,home town,growing up,teachers,teacher,high school,student,town where i grew up,where i'm from,kids,friends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When you're in public when do you bite your tongue? What do you wish you could say?,shareopinions,,,,belief,,,sarcastic,loudmouth,in trouble,rude,arrogant,ranting,politics,republicans,democrats,election,didn't say,argument,didn't want to say,kept quiet,keep quiet,president,fights,opinions,dispute,honest,critical,argue,self-conscious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What does spirituality mean to you?,spirituality,hardfollow,spirituality2,,belief,,,energy,spirit,peace,mindfulness,vibes,karma,negative,positive,yoga,honest,retreat,relax,focus,angel,religious,religion,god,candles,stoned,heaven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Was religion an important part of your childhood?,spirituality2,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do you believe in fate?,fate,,,,belief,,,energy,spirit,peace,mindfulness,vibes,karma,negative,positive,yoga,honest,retreat,relax,focus,angel,religious,religion,god,candles,meant to be,meant to happen,fated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What do you struggle with in your daily life?,dailystrugs,,,,worry,,,hate,self-conscious,love,opinion,lonely,alone,anger,anxiety,regret,boyfriend,work,boss,stress,tired,exhausted,disappointment,connection,every day,morning,over and over,destroys,co-worker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What's the closest you've ever come to becoming a stalker? Who were they?,stalker,length,,stalker2,secret,notfirst,,crush,girlfriend,boyfriend,obsessed,so hot,attractive,see her around,see him around,obsessing,obsession,enamored,fascinated,crush,wife,creepy,facebook,online,date,dating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
So why did you have such a strong urge to follow this person?,stalker2,hardfollow,stalker3,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Have you ever been stalked or followed?,stalker3,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I've heard a lot of funny sex stories...do you have any?,funnysex,,,,sex,notfirst,,boner,erection,fart,kiss,first time,bra,naked,underwear,panties,boxers,briefs,kissing,making out,stripper,strippers,bachelor,bachelorette,prostitute,prostitutes,strip club,lap dance,turned on,aroused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Have you ever had sex in public?,publicsex,length,,publicsex2,sex,notfirst,,date,girl,boy,boyfriend,girlfriend,park,kissing,groping,going out,getting wasted,flirting,drunk,cock,dick,pussy,penis,breasts,boobs,chest,parking lot,back seat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oh so that's as far as that went? Or was there more?,publicsex2,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tell me about a time when you felt you were discriminating against someone.,discriminate,,,,belief,notfirst,,people,indian,mexican,indians,mexicans,white,whites,dominican,have it easy,lazy,hispanic,chinese,japanese,unfair,race,racist,racism,prejudice,welfare,prejudiced,jew,jews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can you tell me what turns you on in a partner? ,turnons,,,,sex,notfirst,,body,head,breasts,boobs,kindness,strong,legs,eyes,muscles,sense of humor,funny,warm,boyfriend,girlfriend,crush,flirt,date,wife,husband,sexy,touch,hands,ass,butt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How far would you be willing to go to advance your career? What would you be willing to do?,careerhungry,,,,belief,,,work,working,promotion,promoted,passed over,passed me over,ignored,boss,coworkers,advance,ambition,future,opportunities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What do you think people say about you behind your back?,behindyourback,length,,nemesis,secret,notfirst,,gossip,secrets,mean,bitchy,bitches,lies,lying,rumors,spread,spreading,about me,jealous,jealousy,enemy,nemesis,arch enemy,rival,rivals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did you ever have a nemesis?,nemesis,length,,nemesis2,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did this person realize how much you hated them?,nemesis2,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tell me about a time when you got back at somebody.,gotbackat,length,,gotbackat2,secret,notfirst,,gossip,secrets,mean,bitch,bastard,bitchy,bitches,lies,lying,rumors,spread,spreading,about me,jealous,jealousy,enemy,nemesis,arch enemy,rival,rivals,nemesis,prank,pranks,bully,fucked me over,screwed me,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do you have any other stories about revenge?,gotbackat2,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
If you could definitely get away with it what crime would you commit?,getawaywith,length,getawaywith2,,secret,wrong,notfirst,bitch,bastard,fucked up,fantasy,fantasize,wrong but,shouldn't,really wanted,really want,hate,love,jealous,unfair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What else would you do?,getawaywith2,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Have you ever feared for your life?,feared4life,yesno,feared4life2,,hurt,notfirst,,insane,insanely,crazy,fucked up,abusive,abused,abuse,manipulative,jealous,possessive,read my texts,read my emails,went through my,asked me where,followed me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What was going on?,feared4life2,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Have you ever committed a crime of passion?,crimeofpassion,,,,secret,notfirst,,insane,insanely,crazy,fucked up,jealous,possessive,read his,read her,went through,where he,where she,stalked,terrible break up,horrible break up,awful break up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tell me about a secret you kept from your parents.,secretfromparents,,,,childhood,secret,,mom,dad,still doesn't know,still don't know,never told,things we did,stuff we did,bad kids,wild kids,detention,suspended,in trouble,would have,would get,furious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What's the worst thing someone's ever done to you?,worstthingtoyou,,,,hurt,notfirst,,betrayed,betrayal,ex,horrible,so cruel,bitter,self destructive,destroy,hurt me,hurt my feelings,devastating,devastated,worthless,piece of,throw away,didn't care,didn't give,didn't love,wasn't even,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Have you ever been betrayed by someone you care about?,betrayed,,,,hurt,notfirst,,betray,betrayal,ex,horrible,so cruel,bitter,self destructive,destroy,hurt me,hurt my feelings,devastating,devastated,worthless,piece of,throw away,didn't care,didn't give,didn't love,wasn't even,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Who's your celebrity crush?,celebritycrush,,,,gettingwarmer,,,magazines,people,us weekly,perez,gossip,dumb,guilty pleasure,reality shows,tv,stars,famous,celebrities,unwind,stupid but,on the train,to work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What's the craziest lie you ever told?,craziestlie,length,craziestlie2,,secret,notfirst,,lies,lying,lied,pranks,troublemaker,trouble,caught,sneaking,shouldn't,supposed to,promised,trust,trusting,trusted,betrayal,betraying,betrayed,really wanted,felt bad,felt terrible,felt horrible,wrong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Were you caught?,craziestlie2,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What's the stupidest thing you've ever done?,stupidestthing,,,,secret,notfirst,,lie,lied,shouldn't,supposed to,trust,betrayal,wrong,drunk,fucked up,stoned,wasted,have fun,having fun,harmless,didn't realize,didn't think,wasn't thinking,selfish,regret,guilty,get over,forgive,apologize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
So before we stop my last question is: what is your biggest secret?,end,length,end1,end2,end,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
If you had a chance to apologize to someone that you didn't do before what would you say to them?,TBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okay well thank you so much for coming in it was really good to talk to you.,end1,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okay thank you so much for coming in it was really nice to talk to you.,end2,,,,followup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
